id_municipio,ano_pib,pib,populacao
1720259,2022,49680000,2385
2100303,2022,369370000,23286
2101772,2022,124651000,11750
2105609,2022,140782000,14924
2108108,2022,233125000,20341
2109270,2022,179657000,17511
2111052,2022,171923000,9904
2200400,2022,660824000,47453
2200459,2022,95670000,5322
2203602,2022,57179000,4377
2209500,2022,44444000,3646
2209872,2022,64033000,5522
2209955,2022,39665000,4383
2308377,2022,127318000,14196
2309706,2022,1460733000,81524
2403608,2022,844765000,61635
2405108,2022,234017000,6562
2406205,2022,81851000,6654
2406403,2022,42744000,2567
2412609,2022,273442000,16786
2502052,2022,45716000,3504
2505303,2022,29807000,2292
2507200,2022,180344000,10499
2508703,2022,41425000,3583
2516151,2022,42450000,3345
2604809,2022,131069000,10198
2613107,2022,542553000,37126
2614857,2022,408348000,23561
2615706,2022,177203000,14705
2702900,2022,489079000,36102
2804706,2022,89604000,6268
2900306,2022,157504000,13795
2900801,2022,365754000,24530
2905701,2022,30465889000,300372
2928000,2022,619029000,37834
2932507,2022,380360000,18131
3106903,2022,324334000,13978
3108909,2022,235937000,14246
3109253,2022,47893000,4041
3110608,2022,2137683000,29536
3113107,2022,45884000,2933
3114105,2022,325942000,13797
3116159,2022,408892000,12355
3118809,2022,300866000,25377
3120839,2022,76949000,3983
3123908,2022,364594000,14746
3128709,2022,3912373000,50911
3130804,2022,135273000,2580
3133204,2022,159556000,11128
3136306,2022,2254280000,46801
3140506,2022,528224000,14003
3143450,2022,86877000,6888
3145877,2022,164147000,8437
3156502,2022,73492000,5679
3162658,2022,46918000,3972
3164209,2022,268414000,10315
3164803,2022,27919000,1259
3165008,2022,255019000,11192
3171303,2022,2004832000,76430
3200409,2022,1812852000,29984
3203130,2022,689639000,14079
3300209,2022,9387990000,129671
3513306,2022,217898000,2108
3519071,2022,21420797000,236641
3533601,2022,1003709000,7391
3537206,2022,169835000,11281
3538204,2022,353045000,15224
3548609,2022,305965000,11674
3554607,2022,62755000,2464
4108007,2022,471672000,11446
4110078,2022,295776000,14249
4111506,2022,1011290000,32720
4116406,2022,103727000,3669
4124608,2022,442768000,6587
4128633,2022,98491000,5697
4202081,2022,108416000,3144
4203105,2022,339319000,6304
4203253,2022,194684000,2625
4211108,2022,262775000,7736
4214300,2022,166662000,3279
4309126,2022,67782000,2014
4310363,2022,651739000,3080
4311601,2022,137100000,4781
4312203,2022,154825000,4191
4313706,2022,1808605000,33216
4314050,2022,1497395000,52058
4321204,2022,1650288000,53242
5007802,2022,2961878000,8142
5100805,2022,256494000,8590
5101605,2022,121806000,7253
5106505,2022,814582000,31217
5107263,2022,169627000,2519
5201504,2022,574539000,4325
5203302,2022,1776808000,34445
5203609,2022,100987000,3992
5209457,2022,72419000,2161
5212501,2022,6279119000,209129
5215702,2022,2058423000,31858
1100155,2022,1089382000,35044
1100346,2022,435099000,13117
1200401,2022,11266899000,364756
1300029,2022,222262000,15866
1501105,2022,277458000,31892
1507102,2022,200864000,16666
1507474,2022,203685000,20689
1508126,2022,2302813000,37972
1600709,2022,266854000,12945
1706258,2022,82923000,1470
1707652,2022,317328000,5211
1716653,2022,136571000,4921
1718402,2022,71876000,3047
2102150,2022,82005000,9218
2105948,2022,91324000,8758
2107704,2022,199976000,18274
2111078,2022,217962000,16889
2200509,2022,220119000,17234
2203859,2022,27973000,2333
2210631,2022,686687000,4446
2303501,2022,1182740000,72720
2310001,2022,116455000,9346
2402105,2022,120903000,10215
2412559,2022,722955000,10221
2509305,2022,196942000,8244
2512762,2022,62939000,4738
2513703,2022,2846355000,149910
2515203,2022,40191000,3279
2603801,2022,238707000,18338
2604106,2022,9587869000,378048
2608008,2022,166513000,15843
2608453,2022,296864000,17981
2702553,2022,161952000,15429
2705507,2022,666678000,25187
2707305,2022,423604000,24071
2803104,2022,83596000,4745
2804300,2022,105508000,7822
