ano,id_municipio,rede,etapa,ideb
2023,3140803,estadual,EM,NA
2023,3157609,estadual,EM,NA
2023,3539400,estadual,EM,NA
2023,4203204,federal,EM,NA
2023,4203402,estadual,EM,NA
2023,4205605,estadual,EM,NA
2023,4211256,estadual,EM,NA
2023,4216404,estadual,EM,NA
2023,4307864,estadual,EM,NA
2023,4319802,estadual,EM,NA
2023,5000203,estadual,EM,NA
2023,1101708,estadual,EF anos iniciais,NA
2023,1200336,estadual,EF anos iniciais,NA
2023,1504505,estadual,EF anos iniciais,NA
2023,1702703,estadual,EF anos iniciais,NA
2023,1703008,estadual,EF anos iniciais,NA
2023,2104206,estadual,EF anos iniciais,NA
2023,2106102,estadual,EF anos iniciais,NA
2023,2110005,estadual,EF anos iniciais,NA
2023,2110039,estadual,EF anos iniciais,NA
2023,2111607,estadual,EF anos iniciais,NA
2023,2306405,estadual,EF anos iniciais,NA
2023,2400406,estadual,EF anos iniciais,NA
2023,2413508,estadual,EF anos iniciais,NA
2023,2501351,estadual,EF anos iniciais,NA
2023,2503001,estadual,EF anos iniciais,NA
2023,2504900,estadual,EF anos iniciais,NA
2023,2513505,estadual,EF anos iniciais,NA
2023,2600104,estadual,EF anos iniciais,NA
2023,2601003,estadual,EF anos iniciais,NA
2023,2605004,estadual,EF anos iniciais,NA
2023,2708907,estadual,EF anos iniciais,NA
2023,2806800,estadual,EF anos iniciais,NA
2023,2911402,estadual,EF anos iniciais,NA
2023,3106101,municipal,EF anos iniciais,NA
2023,3108552,estadual,EF anos iniciais,NA
2023,3118106,estadual,EF anos iniciais,NA
2023,3124500,municipal,EF anos iniciais,NA
2023,3126406,estadual,EF anos iniciais,NA
2023,3132800,estadual,EF anos iniciais,NA
2023,3135605,estadual,EF anos iniciais,NA
2023,3138609,estadual,EF anos iniciais,NA
2023,3304508,estadual,EF anos iniciais,NA
2023,3511201,estadual,EF anos iniciais,NA
2023,3516002,estadual,EF anos iniciais,NA
2023,3529609,estadual,EF anos iniciais,NA
2023,3545704,estadual,EF anos iniciais,NA
2023,4109500,estadual,EF anos iniciais,NA
2023,4123105,estadual,EF anos iniciais,NA
2023,4127957,estadual,EF anos iniciais,NA
2023,4207908,estadual,EF anos iniciais,NA
2023,4210209,estadual,EF anos iniciais,NA
2023,4212007,estadual,EF anos iniciais,NA
2023,4300455,estadual,EF anos iniciais,NA
2023,4301636,estadual,EF anos iniciais,NA
2023,4307302,municipal,EF anos iniciais,NA
2023,4319356,estadual,EF anos iniciais,NA
2023,5000856,estadual,EF anos iniciais,NA
2023,5106158,estadual,EF anos iniciais,NA
2023,5107156,estadual,EF anos iniciais,NA
2023,5212303,estadual,EF anos iniciais,NA
2023,5221403,estadual,EF anos iniciais,NA
2023,1301001,municipal,EF anos finais,NA
2023,1400100,municipal,EF anos finais,NA
2023,1503101,estadual,EF anos finais,NA
2023,1711100,municipal,EF anos finais,NA
2023,2101509,estadual,EF anos finais,NA
2023,2102325,estadual,EF anos finais,NA
2023,2103257,estadual,EF anos finais,NA
2023,2105005,estadual,EF anos finais,NA
2023,2109007,estadual,EF anos finais,NA
2023,2305803,estadual,EF anos finais,NA
2023,2401602,municipal,EF anos finais,NA
2023,2401651,municipal,EF anos finais,NA
2023,2409100,municipal,EF anos finais,NA
2023,2504108,estadual,EF anos finais,NA
2023,2513943,estadual,EF anos finais,NA
2023,2514503,estadual,EF anos finais,NA
2023,2611533,estadual,EF anos finais,NA
2023,2702306,estadual,EF anos finais,NA
2023,2706802,estadual,EF anos finais,NA
2023,2709103,estadual,EF anos finais,NA
2023,2901809,estadual,EF anos finais,NA
2023,2904704,estadual,EF anos finais,NA
2023,2908309,estadual,EF anos finais,NA
2023,2917359,estadual,EF anos finais,NA
2023,2917508,estadual,EF anos finais,NA
2023,2929701,estadual,EF anos finais,NA
2023,2933158,estadual,EF anos finais,NA
2023,3104205,municipal,EF anos finais,NA
2023,3170529,estadual,EF anos finais,NA
2023,3306305,estadual,EF anos finais,NA
2023,3521903,estadual,EF anos finais,NA
2023,3522406,estadual,EF anos finais,NA
2023,3522505,municipal,EF anos finais,NA
2023,3534302,estadual,EF anos finais,NA
2023,4202081,estadual,EF anos finais,NA
2023,4209706,municipal,EF anos finais,NA
2023,4215109,estadual,EF anos finais,NA
2023,4215406,estadual,EF anos finais,NA
2023,4215505,municipal,EF anos finais,NA
2023,4215752,municipal,EF anos finais,NA
2023,4301800,estadual,EF anos finais,NA
2023,4307054,estadual,EF anos finais,NA
2023,4309126,estadual,EF anos finais,NA
2023,4309506,municipal,EF anos finais,NA
2023,4312385,estadual,EF anos finais,NA
2023,5000252,municipal,EF anos finais,NA
2023,5101258,municipal,EF anos finais,NA
2023,5107297,municipal,EF anos finais,NA
2023,2100204,federal,EM,NA
2023,2210003,federal,EM,NA
2023,2304400,federal,EM,NA
2023,2400307,estadual,EM,NA
2023,2404804,estadual,EM,NA
2023,2506301,federal,EM,NA
2023,2903201,federal,EM,NA
2023,2929305,municipal,EM,NA
2023,3112109,estadual,EM,NA
2023,3118106,estadual,EM,NA
2023,3205309,federal,EM,NA
2023,3300936,estadual,EM,NA
2023,3523800,estadual,EM,NA
2023,4204152,estadual,EM,NA
2023,4217600,estadual,EM,NA
2023,4310306,estadual,EM,NA
2023,4316303,estadual,EM,NA
2023,4316709,estadual,EM,NA
2023,5100409,estadual,EM,NA
2023,5212253,estadual,EM,NA
2023,1100080,estadual,EF anos iniciais,NA
2023,1200344,estadual,EF anos iniciais,NA
2023,1718808,estadual,EF anos iniciais,NA
2023,1720655,estadual,EF anos iniciais,NA
2023,2102705,estadual,EF anos iniciais,NA
2023,2202703,estadual,EF anos iniciais,NA
2023,2204105,estadual,EF anos iniciais,NA
2023,2207405,estadual,EF anos iniciais,NA
2023,2210904,estadual,EF anos iniciais,NA
2023,2401404,estadual,EF anos iniciais,NA
2023,2501708,estadual,EF anos iniciais,NA
