ano,id_municipio,rede,etapa,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula
2023,1100924,estadual,EM,NA,4.133333333333333,58.333333333333336,56.3,NA
2023,1100924,municipal,EF anos iniciais,19.8,97.5,5.1,2.3333333333333335,NA
2023,1100924,municipal,EF anos finais,24.333333333333332,75,4.3,2.3333333333333335,NA
2023,1100924,municipal,EM,NA,4.4,0,12.5,18.099999999999998
2023,1100940,estadual,EF anos iniciais,NA,NA,4.3,45.5,NA
2023,1100940,estadual,EF anos finais,NA,100,4.3,27.3,NA
2023,1100940,estadual,EM,NA,4.3,0,4.5,NA
2023,1100940,municipal,EF anos iniciais,21.733333333333334,90.2,4.333333333333333,14.733333333333333,0
2023,1100940,municipal,EF anos finais,22.46666666666667,91.26666666666667,4.333333333333333,2.3,77.8
2023,1100940,municipal,EM,NA,4.333333333333333,64.43333333333334,51.43333333333333,24
2023,1101005,estadual,EF anos iniciais,NA,NA,4.1,43.53333333333333,NA
2023,1101005,estadual,EF anos finais,NA,61.666666666666664,4.1,0,NA
2023,1101005,estadual,EM,NA,4.1,23.333333333333332,10.866666666666667,NA
2023,1101005,municipal,EF anos iniciais,20.4,100,4,34.93333333333334,0
2023,1101005,municipal,EF anos finais,22.666666666666668,100,4,0,44.4
2023,1101005,municipal,EM,NA,4,70,8.9,19.433333333333334
2023,1101104,estadual,EF anos iniciais,NA,NA,4.3,25.8,NA
2023,1101104,estadual,EF anos finais,NA,93.5,4.4,41.9,NA
2023,1101104,estadual,EM,NA,4.3,50,25.8,NA
2023,1101104,municipal,EF anos iniciais,23.7,87.9,NA,19.6,0
2023,1101104,municipal,EF anos finais,20.1,100,NA,0,58.3
2023,1101104,municipal,EM,NA,NA,0,0,21
2023,1101203,estadual,EF anos iniciais,NA,NA,4,42.733333333333334,NA
2023,1101203,estadual,EF anos finais,NA,64.1,4,16.033333333333335,NA
2023,1101203,estadual,EM,NA,4,0,0,NA
2023,1101203,municipal,EF anos iniciais,22,100,4.3,14.433333333333334,0
2023,1101203,municipal,EF anos finais,21.3,100,4.3,5.733333333333333,60.9
2023,1101203,municipal,EM,NA,4.3,0,32.43333333333333,17.866666666666667
2023,1101302,estadual,EF anos iniciais,NA,NA,4.3,14.4,0
2023,1101302,estadual,EF anos finais,NA,85.86666666666667,4.3,10.8,50
2023,1101302,estadual,EM,NA,4.3,80.56666666666666,46.5,NA
2023,1101302,municipal,EF anos iniciais,22.5,100,4.3,12.733333333333333,NA
2023,1101302,municipal,EF anos finais,26.3,100,4.3,0,NA
2023,1101302,municipal,EM,NA,4.3,41.1,10,23.733333333333334
2023,1101401,estadual,EF anos iniciais,NA,NA,4.2,39.3,0
2023,1101401,estadual,EF anos finais,NA,100,4.3,35.7,22.2
2023,1101401,estadual,EM,NA,4.3,0,17.9,NA
2023,1101401,municipal,EF anos iniciais,25.366666666666667,100,4.2,10.200000000000001,NA
2023,1101401,municipal,EF anos finais,19.833333333333332,100,4.1,1.3333333333333333,NA
2023,1101401,municipal,EM,NA,4.1,26.2,21.9,20.8
2023,1101435,estadual,EF anos iniciais,NA,NA,4.3,90.9,NA
2023,1101435,estadual,EF anos finais,NA,100,4.3,0,NA
2023,1101435,estadual,EM,NA,4.3,0,0,NA
2023,1101435,municipal,EF anos iniciais,15.6,100,4.3,50.800000000000004,NA
