ano,id_municipio,rede,etapa,ideb,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula,ano_pib,pib,populacao,pib_pc,pib_pc_mil,log_pib,grupo_pib
2023,2307601,federal,EM,NA,NA,NA,0,NA,NA,2022,1651936000,59560,27735.66151779718,27.73566151779718,10.230474283576706,Acima da mediana
2023,2704500,federal,EM,NA,NA,NA,0,NA,NA,2022,1141444000,32174,35477.217629141545,35.47721762914154,10.476646012523796,Acima da mediana
2023,2916500,municipal,EM,NA,NA,6.866666666666666,7.866666666666666,32.36666666666667,18.2,2022,453943000,31679,14329.461157233498,14.329461157233498,9.570072917689094,Abaixo da mediana
2023,3121308,estadual,EM,NA,NA,4.6,0,25,NA,2022,102137000,4928,20725.852272727272,20.725852272727273,9.939137102088116,Abaixo da mediana
2023,3145901,federal,EM,NA,NA,NA,100,NA,NA,2022,4988929000,38724,128832.99762421238,128.83299762421237,11.766272252575204,Acima da mediana
2023,3152501,municipal,EM,NA,NA,4.733333333333333,12.166666666666666,22.566666666666663,16.5,2022,12476111000,152217,81962.66514252679,81.96266514252679,11.314019119424525,Acima da mediana
2023,3304003,municipal,EM,NA,NA,5,20.866666666666667,5.733333333333333,14.7,2022,2885734000,27474,105035.08771929824,105.03508771929825,11.562049742072938,Acima da mediana
2023,3513504,federal,EM,NA,34,NA,0,NA,NA,2022,28715658000,112476,255304.75834844768,255.30475834844768,12.450213241318508,Acima da mediana
2023,4218103,estadual,EM,NA,NA,4.1,0,27.8,NA,2022,156049000,5386,28973.0783512811,28.9730783512811,10.274122345086486,Acima da mediana
2023,5005707,estadual,EM,NA,NA,6.1,0,23.9,NA,2022,2882132000,50457,57120.558098975365,57.120558098975366,10.952919367606059,Acima da mediana
2023,5006408,estadual,EM,NA,25,5.7,0,29.6,NA,2022,390021000,6941,56190.894683763145,56.19089468376315,10.936510006452577,Acima da mediana
2023,5200258,federal,EM,NA,NA,NA,0,NA,NA,2022,2814337000,225693,12469.757591063968,12.469757591063969,9.431061599115766,Abaixo da mediana
2023,1101450,estadual,EF anos iniciais,NA,NA,0,4,54.166666666666664,NA,2022,164073000,4125,39775.27272727273,39.77527272727273,10.591000709933523,Acima da mediana
2023,1600212,municipal,EF anos iniciais,NA,20.3,78.5,NA,6.133333333333333,0,2022,94531000,4461,21190.540237614885,21.190540237614886,9.961310145869628,Abaixo da mediana
2023,1715002,estadual,EF anos iniciais,NA,NA,NA,6.4,5.5,NA,2022,111315000,3362,33109.756097560974,33.109756097560975,10.40758326408592,Acima da mediana
2023,1715259,estadual,EF anos iniciais,NA,NA,NA,4.4,69.2,NA,2022,46606000,2230,20899.551569506726,20.899551569506727,9.947482981718256,Abaixo da mediana
2023,2107308,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,52128000,4320,12066.666666666666,12.066666666666666,9.398202109145753,Abaixo da mediana
2023,2206902,estadual,EF anos iniciais,NA,NA,NA,4.3,42.9,0,2022,61165000,6097,10031.982942430704,10.031982942430705,9.213533562555337,Abaixo da mediana
2023,2206902,municipal,EF anos iniciais,NA,20.1,86.46666666666667,7.7,20.533333333333335,NA,2022,61165000,6097,10031.982942430704,10.031982942430705,9.213533562555337,Abaixo da mediana
2023,2307700,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,1793354000,105093,17064.447679674195,17.064447679674196,9.744752495137227,Abaixo da mediana
2023,2400703,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,792176000,12484,63455.302787568085,63.45530278756809,11.058091043922552,Acima da mediana
2023,2505709,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,104757000,10380,10092.196531791908,10.092196531791908,9.219517783589556,Abaixo da mediana
2023,2601201,estadual,EF anos iniciais,NA,NA,NA,6.4,31.5,1,2022,1360082000,77742,17494.816186874534,17.494816186874534,9.769659898137537,Abaixo da mediana
2023,2603405,estadual,EF anos iniciais,NA,NA,NA,NA,NA,0,2022,56926000,5228,10888.67635807192,10.888676358071919,9.295478661989756,Abaixo da mediana
2023,2607208,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,17815112000,98932,180074.31366999555,180.07431366999555,12.101124898393897,Acima da mediana
2023,2607653,estadual,EF anos iniciais,NA,NA,NA,7.3,28.6,NA,2022,529257000,34935,15149.763847144697,15.149763847144698,9.625740223168812,Abaixo da mediana
2023,2610301,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,264237000,12199,21660.545946389047,21.660545946389046,9.983247725518453,Abaixo da mediana
2023,2611101,estadual,EF anos iniciais,NA,NA,NA,5.7,49.333333333333336,0,2022,8834261000,386791,22839.882520534346,22.839882520534346,10.036263520172408,Abaixo da mediana
2023,2615300,estadual,EF anos iniciais,NA,NA,NA,6,28.9,0,2022,901620000,46147,19537.99813639023,19.53799813639023,9.880116470829028,Abaixo da mediana
2023,2800407,estadual,EF anos iniciais,NA,NA,NA,5.5,23.1,NA,2022,153675000,10318,14893.874781934483,14.893874781934482,9.608705318952753,Abaixo da mediana
2023,2903003,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,132407000,13836,9569.745591211333,9.569745591211333,9.166361900103183,Abaixo da mediana
2023,2908002,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,221185000,17333,12760.918479201524,12.760918479201523,9.45414253543691,Abaixo da mediana
2023,2909802,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,1163112000,60348,19273.41419765361,19.273414197653608,9.86648192255169,Abaixo da mediana
2023,2919926,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,580018000,18504,31345.54690877648,31.34554690877648,10.352827491594663,Acima da mediana
2023,2920700,municipal,EF anos iniciais,NA,14.866666666666667,42.1,4.9,15.033333333333331,0,2022,396613000,24527,16170.465201614546,16.170465201614547,9.690941721583082,Abaixo da mediana
2023,2925709,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,111215000,12621,8811.900800253547,8.811900800253547,9.083858450511338,Abaixo da mediana
2023,2930006,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,111669000,9360,11930.448717948719,11.93044871794872,9.386849126953672,Abaixo da mediana
2023,2933000,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,311922000,24362,12803.628601921024,12.803628601921023,9.457483894258642,Abaixo da mediana
2023,3119401,estadual,EF anos iniciais,NA,NA,NA,4.7,40.3,0,2022,2164490000,104736,20666.151084631838,20.66615108463184,9.93625242753011,Abaixo da mediana
2023,3131406,estadual,EF anos iniciais,NA,NA,NA,NA,NA,NA,2022,217352000,3775,57576.68874172185,57.57668874172185,10.960873055421946,Acima da mediana
2023,3169505,estadual,EF anos iniciais,NA,NA,66.7,4.5,38.333333333333336,4.366666666666667,2022,92082000,5886,15644.240570846076,15.644240570846076,9.65785811359187,Abaixo da mediana
2023,3200300,estadual,EF anos iniciais,NA,NA,NA,7,42.1,0,2022,503090000,13836,36360.942468921654,36.36094246892166,10.50125046844288,Acima da mediana
